,Model,Prediction_Time,Size
0,AdaBoost,0.03745746612548828,159059
1,AdaBoost,0.012623310089111328,64691
2,AdaBoost,0.012513399124145508,64691
3,AdaBoost,0.037357330322265625,159059
4,AdaBoost,0.012425661087036133,64691
5,AdaBoost,0.03203010559082031,127600
6,AdaBoost,0.013396739959716797,64691
7,AdaBoost,0.013448238372802734,64691
8,AdaBoost,0.02292633056640625,96150
9,AdaBoost,0.01362919807434082,64691
10,AdaBoost,0.015299320220947266,64691
11,AdaBoost,0.015372037887573242,64691
12,AdaBoost,0.04716658592224121,159059
13,AdaBoost,0.0363924503326416,127600
14,AdaBoost,0.015282869338989258,64691
15,AdaBoost,0.015290975570678711,64691
16,AdaBoost,0.015422821044921875,64691
17,AdaBoost,0.04760479927062988,159059
18,AdaBoost,0.03623199462890625,127600
19,AdaBoost,0.015179872512817383,64691
20,Decision Tree,0.004189252853393555,35086
21,Decision Tree,0.0041959285736083984,33496
22,Decision Tree,0.004175662994384766,33931
23,Decision Tree,0.004126310348510742,34366
24,Decision Tree,0.0041730403900146484,34216
25,Decision Tree,0.00418853759765625,34939
26,Decision Tree,0.00419306755065918,33640
27,Decision Tree,0.00428318977355957,33931
28,Decision Tree,0.004240512847900391,34795
29,Decision Tree,0.004192352294921875,34366
30,Decision Tree,0.004401683807373047,34939
31,Decision Tree,0.00431370735168457,33640
32,Decision Tree,0.004346370697021484,34072
33,Decision Tree,0.004296541213989258,34798
34,Decision Tree,0.004268169403076172,34510
35,Decision Tree,0.00434422492980957,34939
36,Decision Tree,0.004374504089355469,33640
37,Decision Tree,0.004368305206298828,34072
38,Decision Tree,0.004289865493774414,34798
39,Decision Tree,0.0042836666107177734,34510
40,Gaussian Naive Bayes,0.005219697952270508,56483
41,Gaussian Naive Bayes,0.005088329315185547,56483
42,Gaussian Naive Bayes,0.005137920379638672,56483
43,Gaussian Naive Bayes,0.005167484283447266,56483
44,Gaussian Naive Bayes,0.005167245864868164,56483
45,Gaussian Naive Bayes,0.005443096160888672,56483
46,Gaussian Naive Bayes,0.0053806304931640625,56483
47,Gaussian Naive Bayes,0.0053937435150146484,56483
48,Gaussian Naive Bayes,0.00537562370300293,56483
49,Gaussian Naive Bayes,0.005456686019897461,56483
50,Gaussian Naive Bayes,0.0055997371673583984,56483
51,Gaussian Naive Bayes,0.0056536197662353516,56483
52,Gaussian Naive Bayes,0.00565648078918457,56483
53,Gaussian Naive Bayes,0.005615949630737305,56483
54,Gaussian Naive Bayes,0.00565028190612793,56483
55,Gaussian Naive Bayes,0.005652904510498047,56483
56,Gaussian Naive Bayes,0.0055844783782958984,56483
57,Gaussian Naive Bayes,0.005582571029663086,56483
58,Gaussian Naive Bayes,0.005560874938964844,56483
59,Gaussian Naive Bayes,0.005646705627441406,56483
60,Nearest Neighbors,0.013538122177124023,6588371
61,Nearest Neighbors,0.017466068267822266,6588371
62,Nearest Neighbors,0.020014286041259766,6588371
63,Nearest Neighbors,0.015463590621948242,6588371
64,Nearest Neighbors,0.015434503555297852,6588371
65,Nearest Neighbors,0.020684003829956055,8231771
66,Nearest Neighbors,0.014773845672607422,8231771
67,Nearest Neighbors,0.01603102684020996,8231771
68,Nearest Neighbors,0.011512279510498047,8231772
69,Nearest Neighbors,0.02103400230407715,8231771
70,Nearest Neighbors,0.025705575942993164,10956827
71,Nearest Neighbors,0.02877044677734375,10956827
72,Nearest Neighbors,0.022921085357666016,10956827
73,Nearest Neighbors,0.01896214485168457,10956828
74,Nearest Neighbors,0.023516178131103516,10956827
75,Nearest Neighbors,0.021738767623901367,10956827
76,Nearest Neighbors,0.02117300033569336,10956827
77,Nearest Neighbors,0.023287534713745117,10956827
78,Nearest Neighbors,0.020826339721679688,10956828
79,Nearest Neighbors,0.02223682403564453,10956827
80,Neural Network,0.005312919616699219,3629269
81,Neural Network,0.004704475402832031,1833993
82,Neural Network,0.0052967071533203125,3628442
83,Neural Network,0.005226612091064453,3629619
84,Neural Network,0.004951953887939453,1836194
85,Neural Network,0.00816655158996582,3632019
86,Neural Network,0.00462794303894043,936893
87,Neural Network,0.005595207214355469,3629619
88,Neural Network,0.0050923824310302734,1834869
89,Neural Network,0.004899024963378906,1834568
90,Neural Network,0.005974292755126953,3629544
91,Neural Network,0.004834175109863281,935944
92,Neural Network,0.005862712860107422,3629769
93,Neural Network,0.005825996398925781,3628993
94,Neural Network,0.005887269973754883,3630118
95,Neural Network,0.005831718444824219,3629544
96,Neural Network,0.004878520965576172,935944
97,Neural Network,0.005821943283081055,3629769
98,Neural Network,0.0058095455169677734,3628993
99,Neural Network,0.006144046783447266,3630118
100,Quadratic Discriminant Analysis,0.009636640548706055,6600330
101,Quadratic Discriminant Analysis,0.008632898330688477,6600330
102,Quadratic Discriminant Analysis,0.009534597396850586,6600330
103,Quadratic Discriminant Analysis,0.008765697479248047,6600330
104,Quadratic Discriminant Analysis,0.008681535720825195,6600330
105,Quadratic Discriminant Analysis,0.0112457275390625,7765650
106,Quadratic Discriminant Analysis,0.010198116302490234,7765650
107,Quadratic Discriminant Analysis,0.012001514434814453,7765650
108,Quadratic Discriminant Analysis,0.014205217361450195,7765650
109,Quadratic Discriminant Analysis,0.01026773452758789,7765650
110,Quadratic Discriminant Analysis,0.01188969612121582,7705890
111,Quadratic Discriminant Analysis,0.011900663375854492,7705890
112,Quadratic Discriminant Analysis,0.011606454849243164,7705890
113,Quadratic Discriminant Analysis,0.016826152801513672,7705890
114,Quadratic Discriminant Analysis,0.01174783706665039,7705890
115,Quadratic Discriminant Analysis,0.011577606201171875,7705890
116,Quadratic Discriminant Analysis,0.014682292938232422,7705890
117,Quadratic Discriminant Analysis,0.011945009231567383,7705890
118,Quadratic Discriminant Analysis,0.011889457702636719,7705890
119,Quadratic Discriminant Analysis,0.016417503356933594,7705890
120,Random Forest,0.017467260360717773,718741
121,Random Forest,0.010674238204956055,136072
122,Random Forest,0.010630130767822266,254866
123,Random Forest,0.03615260124206543,1257715
124,Random Forest,0.010620832443237305,244366
125,Random Forest,0.03158092498779297,1601660
126,Random Forest,0.010678291320800781,139246
127,Random Forest,0.010866641998291016,258457
128,Random Forest,0.0173952579498291,540315
129,Random Forest,0.02404499053955078,733103
130,Random Forest,0.04069876670837402,2115335
131,Random Forest,0.0110931396484375,144868
132,Random Forest,0.011518001556396484,309904
133,Random Forest,0.018439531326293945,658396
134,Random Forest,0.011271238327026367,265125
135,Random Forest,0.040831565856933594,2115335
136,Random Forest,0.010929584503173828,144868
137,Random Forest,0.011357545852661133,309904
138,Random Forest,0.018407106399536133,658396
139,Random Forest,0.0113372802734375,265125
140,Support Vector Machine,0.009405136108398438,943453
141,Support Vector Machine,0.006925106048583984,482377
142,Support Vector Machine,0.007983684539794922,626089
143,Support Vector Machine,0.00923776626586914,919501
144,Support Vector Machine,0.007879257202148438,673993
145,Support Vector Machine,0.010759592056274414,979381
146,Support Vector Machine,0.007748126983642578,536269
147,Support Vector Machine,0.008177042007446289,590161
148,Support Vector Machine,0.009807109832763672,835669
149,Support Vector Machine,0.008873224258422852,668005
150,Support Vector Machine,0.013687849044799805,1063213
151,Support Vector Machine,0.009981393814086914,626089
152,Support Vector Machine,0.010746002197265625,727885
153,Support Vector Machine,0.013180971145629883,991357
154,Support Vector Machine,0.010705232620239258,709921
155,Support Vector Machine,0.013728618621826172,1063213
156,Support Vector Machine,0.009855985641479492,626089
157,Support Vector Machine,0.010789871215820312,727885
158,Support Vector Machine,0.013110160827636719,991357
159,Support Vector Machine,0.010566473007202148,709921
