,Model,Prediction_Time,Size
0,AdaBoost,0.008022308349609375,60858
1,AdaBoost,0.00795292854309082,60858
2,AdaBoost,0.012165546417236328,92317
3,AdaBoost,0.020637035369873047,155226
4,AdaBoost,0.01633310317993164,123767
5,AdaBoost,0.007919073104858398,60858
6,AdaBoost,0.007955074310302734,60858
7,AdaBoost,0.007940053939819336,60858
8,AdaBoost,0.007940053939819336,60858
9,AdaBoost,0.007940292358398438,60858
10,AdaBoost,0.00793766975402832,60858
11,AdaBoost,0.012390613555908203,92317
12,AdaBoost,0.007985591888427734,60858
13,AdaBoost,0.007914066314697266,60858
14,AdaBoost,0.016568422317504883,123767
15,AdaBoost,0.00801229476928711,60858
16,AdaBoost,0.012262821197509766,92317
17,AdaBoost,0.00791788101196289,60858
18,AdaBoost,0.00801229476928711,60858
19,AdaBoost,0.007946014404296875,60858
20,AdaBoost,0.007936716079711914,60858
21,AdaBoost,0.007912874221801758,60858
22,AdaBoost,0.008148431777954102,60858
23,AdaBoost,0.008111953735351562,60858
24,AdaBoost,0.021209716796875,155226
25,AdaBoost,0.016942501068115234,123767
26,AdaBoost,0.01245427131652832,92317
27,AdaBoost,0.012530326843261719,92317
28,AdaBoost,0.008088827133178711,60858
29,AdaBoost,0.008054494857788086,60858
30,AdaBoost,0.00820016860961914,60858
31,AdaBoost,0.008038043975830078,60858
32,AdaBoost,0.008058547973632812,60858
33,AdaBoost,0.012871742248535156,92317
34,AdaBoost,0.008291959762573242,60858
35,AdaBoost,0.008289098739624023,60858
36,AdaBoost,0.013017416000366211,92317
37,AdaBoost,0.008335590362548828,60858
38,AdaBoost,0.0175626277923584,123767
39,AdaBoost,0.008456230163574219,60858
40,AdaBoost,0.008193016052246094,60858
41,AdaBoost,0.013010501861572266,92317
42,AdaBoost,0.008384943008422852,60858
43,AdaBoost,0.008328676223754883,60858
44,Decision Tree,0.003658294677734375,29951
45,Decision Tree,0.0035827159881591797,29807
46,Decision Tree,0.0036978721618652344,29807
