,Model,ID,Authentication,Accuracy,Precision,Recall,F1,FAR,FRR,Balance
0,AdaBoost,1,True,0.999,0.999,0.999,0.999,0.001,0.001,50/50
1,AdaBoost,1,True,0.998,0.999,0.997,0.998,0.001,0.002,60/40
2,AdaBoost,1,True,0.998,0.998,0.994,0.996,0.002,0.003,70/30
3,AdaBoost,1,True,0.998,0.998,0.994,0.996,0.002,0.003,80/20
4,Decision Tree,1,True,0.993,0.991,0.996,0.993,0.009,0.004,50/50
5,Decision Tree,1,True,0.992,0.99,0.989,0.99,0.01,0.007,60/40
6,Decision Tree,1,True,0.994,0.991,0.991,0.991,0.009,0.004,70/30
7,Decision Tree,1,True,0.994,0.991,0.991,0.991,0.009,0.004,80/20
8,Gaussian Naive Bayes,1,True,0.522,0.469,0.8,0.559,0.531,0.157,50/50
9,Gaussian Naive Bayes,1,True,0.436,0.31,0.799,0.447,0.49,0.102,60/40
10,Gaussian Naive Bayes,1,True,0.396,0.46,0.801,0.394,0.54,0.065,70/30
11,Gaussian Naive Bayes,1,True,0.396,0.46,0.801,0.394,0.54,0.065,80/20
12,Nearest Neighbors,1,True,0.963,0.964,0.967,0.965,0.036,0.038,50/50
13,Nearest Neighbors,1,True,0.969,0.961,0.96,0.96,0.039,0.025,60/40
14,Nearest Neighbors,1,True,0.969,0.962,0.943,0.952,0.038,0.027,70/30
15,Nearest Neighbors,1,True,0.969,0.962,0.943,0.952,0.038,0.027,80/20
16,Neural Network,1,True,0.967,0.963,0.975,0.969,0.037,0.029,50/50
17,Neural Network,1,True,0.975,0.973,0.962,0.968,0.027,0.023,60/40
18,Neural Network,1,True,0.981,0.978,0.963,0.97,0.022,0.018,70/30
19,Neural Network,1,True,0.981,0.978,0.963,0.97,0.022,0.018,80/20
20,Quadratic Discriminant Analysis,1,True,0.956,0.97,0.95,0.958,0.03,0.053,50/50
21,Quadratic Discriminant Analysis,1,True,0.96,0.963,0.94,0.949,0.037,0.036,60/40
22,Quadratic Discriminant Analysis,1,True,0.956,0.941,0.943,0.937,0.059,0.026,70/30
23,Quadratic Discriminant Analysis,1,True,0.956,0.941,0.943,0.937,0.059,0.026,80/20
24,Random Forest,1,True,0.998,0.999,0.997,0.998,0.001,0.003,50/50
25,Random Forest,1,True,0.997,0.999,0.994,0.997,0.001,0.004,60/40
26,Random Forest,1,True,0.998,0.999,0.996,0.998,0.001,0.002,70/30
27,Random Forest,1,True,0.998,0.999,0.996,0.998,0.001,0.002,80/20
28,Support Vector Machine,1,True,0.974,0.974,0.978,0.976,0.026,0.025,50/50
29,Support Vector Machine,1,True,0.973,0.961,0.969,0.965,0.039,0.02,60/40
30,Support Vector Machine,1,True,0.979,0.968,0.968,0.968,0.032,0.015,70/30
31,Support Vector Machine,1,True,0.979,0.968,0.968,0.968,0.032,0.015,80/20
