,Model,ID,Authentication,Accuracy,Precision,Recall,F1,FAR,FRR,Balance
0,AdaBoost,2,True,0.927,0.942,0.955,0.941,0.058,0.048,50/50
1,AdaBoost,2,True,0.958,0.941,0.964,0.948,0.059,0.021,60/40
2,AdaBoost,2,True,0.963,0.918,0.977,0.937,0.082,0.006,70/30
3,AdaBoost,2,True,0.971,0.865,0.939,0.89,0.135,0.008,80/20
4,AdaBoost,2,True,0.918,0.942,0.939,0.932,0.058,0.067,50/50
5,AdaBoost,2,True,0.895,0.876,0.891,0.859,0.124,0.054,60/40
6,AdaBoost,2,True,0.963,0.921,0.955,0.923,0.079,0.012,70/30
7,AdaBoost,2,True,0.96,0.82,0.909,0.846,0.18,0.012,80/20
8,AdaBoost,2,True,0.755,0.764,0.924,0.811,0.236,0.136,50/50
9,AdaBoost,2,True,0.58,0.541,0.964,0.658,0.459,0.018,60/40
10,AdaBoost,2,True,0.786,0.091,0.091,0.091,0.0,0.214,70/30
11,Decision Tree,2,True,0.891,0.091,0.091,0.091,0.0,0.109,80/20
12,Decision Tree,2,True,0.873,0.905,0.894,0.886,0.095,0.115,50/50
13,Decision Tree,2,True,0.923,0.932,0.873,0.883,0.068,0.063,60/40
14,Decision Tree,2,True,0.936,0.831,0.977,0.887,0.169,0.006,70/30
15,Decision Tree,2,True,0.945,0.835,0.879,0.811,0.165,0.015,80/20
16,Decision Tree,2,True,0.918,0.933,0.939,0.932,0.067,0.073,50/50
17,Decision Tree,2,True,0.93,0.936,0.891,0.901,0.064,0.058,60/40
18,Decision Tree,2,True,0.914,0.813,0.864,0.82,0.187,0.039,70/30
19,Decision Tree,2,True,0.945,0.814,0.909,0.829,0.186,0.012,80/20
20,Decision Tree,2,True,0.6,0.661,0.409,0.452,0.067,0.411,50/50
21,Decision Tree,2,True,0.699,0.605,0.545,0.509,0.213,0.207,60/40
22,Gaussian Naive Bayes,2,True,0.759,0.417,0.568,0.432,0.402,0.107,70/30
23,Gaussian Naive Bayes,2,True,0.749,0.354,0.636,0.413,0.555,0.051,80/20
24,Gaussian Naive Bayes,2,True,1.0,1.0,1.0,1.0,0.0,0.0,50/50
25,Gaussian Naive Bayes,2,True,0.951,0.985,0.891,0.926,0.015,0.057,60/40
26,Gaussian Naive Bayes,2,True,0.973,0.936,0.932,0.929,0.064,0.018,70/30
27,Gaussian Naive Bayes,2,True,0.985,0.955,0.939,0.943,0.045,0.008,80/20
28,Gaussian Naive Bayes,2,True,0.918,0.928,0.939,0.931,0.072,0.077,50/50
29,Gaussian Naive Bayes,2,True,0.902,0.853,0.927,0.879,0.147,0.044,60/40
30,Gaussian Naive Bayes,2,True,0.957,0.923,0.909,0.911,0.077,0.028,70/30
31,Gaussian Naive Bayes,2,True,0.956,0.795,0.97,0.863,0.205,0.005,80/20
